type.name;cost;instance.name;os;license;costCpu;costRam
Default;0.0086;f1-micro;LINUX;;;
Default;0.0285;g1-small;LINUX;;;
Default;0.0523;n1-standard-1;LINUX;;;
Default;0.078;n1-highcpu-2;LINUX;;;
Default;0.1046;n1-standard-2;LINUX;;;
Default;0.1302;n1-highmem-2;LINUX;;;
Default;0.156;n1-highcpu-4;LINUX;;;
Default;0.2092;n1-standard-4;LINUX;;;
Default;0.2604;n1-highmem-4;LINUX;;;
Default;0.312;n1-highcpu-8;LINUX;;;
Default;0.4184;n1-standard-8;LINUX;;;
Default;0.5208;n1-highmem-8;LINUX;;;
Default;0.624;n1-highcpu-16;LINUX;;;
Default;0.8368;n1-standard-16;LINUX;;;
Default;1.0416;n1-highmem-16;LINUX;;;
Default;1.248;n1-highcpu-32;LINUX;;;
Default;1.6736;n1-standard-32;LINUX;;;
Default;2.0832;n1-highmem-32;LINUX;;;
Default;2.496;n1-highcpu-64;LINUX;;;
Default;3.3472;n1-standard-64;LINUX;;;
Default;4.88;n1-highmem-64;LINUX;;;
Default;0.0286;f1-micro;WINDOWS;;;
Default;0.0485;g1-small;WINDOWS;;;
Default;0.0923;n1-standard-1;WINDOWS;;;
Default;0.158;n1-highcpu-2;WINDOWS;;;
Default;0.1846;n1-standard-2;WINDOWS;;;
Default;0.2102;n1-highmem-2;WINDOWS;;;
Default;0.316;n1-highcpu-4;WINDOWS;;;
Default;0.3692;n1-standard-4;WINDOWS;;;
Default;0.4204;n1-highmem-4;WINDOWS;;;
Default;0.632;n1-highcpu-8;WINDOWS;;;
Default;0.7384;n1-standard-8;WINDOWS;;;
Default;0.8408;n1-highmem-8;WINDOWS;;;
Default;1.264;n1-highcpu-16;WINDOWS;;;
Default;1.4768;n1-standard-16;WINDOWS;;;
Default;1.6816;n1-highmem-16;WINDOWS;;;
Default;2.528;n1-highcpu-32;WINDOWS;;;
Default;2.9536;n1-standard-32;WINDOWS;;;
Default;3.3632;n1-highmem-32;WINDOWS;;;
Default;5.056;n1-highcpu-64;WINDOWS;;;
Default;5.9072;n1-standard-64;WINDOWS;;;
Default;7.44;n1-highmem-64;WINDOWS;;;
Default;0.0686;f1-micro;RHEL;;;
Default;0.0885;g1-small;RHEL;;;
Default;0.1123;n1-standard-1;RHEL;;;
Default;0.138;n1-highcpu-2;RHEL;;;
Default;0.1646;n1-standard-2;RHEL;;;
Default;0.1902;n1-highmem-2;RHEL;;;
Default;0.216;n1-highcpu-4;RHEL;;;
Default;0.2692;n1-standard-4;RHEL;;;
Default;0.3204;n1-highmem-4;RHEL;;;
Default;0.442;n1-highcpu-8;RHEL;;;
